Time,ButtonName
259.054,LifMag(outR)_ON
259.537,LifMag(inR)_ON
259.948,LifMag(center)_ON
260.347,LifMag(inL)_ON
260.643,LifMag(outL)_ON
365.720,All OFF
426.257,LifMag(outL)_ON
426.969,LifMag(inL)_ON
427.335,LifMag(center)_ON
429.126,LifMag(inR)_ON
429.736,LifMag(outR)_ON
493.806,All OFF
533.954,LifMag(outR)_ON
534.328,LifMag(inR)_ON
534.678,LifMag(center)_ON
535.104,LifMag(inL)_ON
535.422,LifMag(outL)_ON
1262.875,All OFF
