Time,ButtonName
43.748,LifMag(outL)_ON
44.147,LifMag(inL)_ON
44.597,LifMag(center)_ON
46.134,LifMag(inR)_ON
46.514,LifMag(outR)_ON
70.583,All OFF
71.306,LifMag(center)_ON
80.552,All OFF
