errorType,x,y,z,rotY
ErrorC,0,3.5,-18,-2
ErrorC,4.5,3.5,-18,3
ErrorC,-4.5,3.5,-18,0
ErrorC,0,3.5,-18.5,1
ErrorC,4.5,3.5,-18.5,-3
ErrorC,-4.5,3.5,-18.5,2
ErrorC,0,3.5,-19,0
ErrorC,4.5,3.5,-19,-1
ErrorC,-4.5,3.5,-19,3
ErrorC,0,3.5,-19.5,-2
ErrorC,4.5,3.5,-19.5,1
ErrorC,-4.5,3.5,-19.5,0
None,0,3.5,-18.5,0
